MAIN_ID ID_NAME IDS ID_NGC ID_M ID_HD RA DEC OTYPE_V SP_TYPE PLX_VALUE Z_VALUE FLUX_V
"BD-07  4003e" 0 "BD-07  4003e|GJ   581 e" 0 0 0 "15 19 26.823" "-07 43 20.21" "Extra-solar Confirmed Planet" 0 0.0 0.0 0.0
"BD-07  4003d" 0 "BD-07  4003d|GJ   581 d" 0 0 0 "15 19 26.823" "-07 43 20.21" "Extra-solar Confirmed Planet" 0 0.0 0.0 0.0
"BD-07  4003c" 0 "BD-07  4003c|GJ   581 c" 0 0 0 "15 19 26.823" "-07 43 20.21" "Extra-solar Confirmed Planet" 0 0.0 0.0 0.0
"BD-07  4003b" 0 "BD-07  4003b|GJ   581 b" 0 0 0 "15 19 26.823" "-07 43 20.21" "Extra-solar Confirmed Planet" 0 159.28 0.0 0.0
"BD-05  5715c" 0 "BD-05  5715c|GJ   849 c" 0 0 0 "22 09 40.3432" "-04 38 26.621" "Extra-solar Planet Candidate" 0 0.0 0.0 0.0
"BD-05  5715b" 0 "BD-05  5715b|GJ   849 b" 0 0 0 "22 09 40.3432" "-04 38 26.621" "Extra-solar Confirmed Planet" 0 113.46 -0.000107 0.0
"BD+76   614B" 0 "BD+76   614B|** ACG    1B|CCDM J16342+7559B|CSI+76   614  2|GJ   632.2 B|GJ  9570 B|UCAC4 830-015942|WDS J16342+7559B" 0 0 0 "16 34 11.875" "+75 58 56.98" "White Dwarf" DA 0.0 0.0 0.0
"BD+47  2112" 0 "CCDM J14025+4620AB|** SWI    1|ADS  9090 AB|BD+47  2112|Ci 20  829|CSI+47  2112  3|GEN# +0.04702112J|G 200-16|GJ   537|HIC  68588|HIP  68588|IDS 13585+4649 AB|IDS 13585+4649|IRAS 14006+4634|JP11   189|MCC 706|PLX 3200.00|PLX 3200|UBV   12438|UBV M   3634|WDS J14024+4620AB|WEB 12012" 0 0 0 "14 02 33.18" "+46 20 23.9" "Double or multiple star" M2V+M2.5V 88.8 -0.000103 0.0
"BD-15  6290d" 0 "BD-15  6290d|GJ   876 d" 0 0 0 "22 53 16.7335" "-14 15 49.318" "Extra-solar Confirmed Planet" 0 0.0 0.0 0.0
"BD+32  4747" 0 "CCDM J23594+3343AB|** STF 3050AB|ADS 17149 AB|AG+33 2390|AKARI-IRC-V1 J2359292+334326|BD+32  4747|CSI+32  4747  1|GC 33268|GEN# +1.00224635|GJ  4384|HIC 118281|HIP 118281|IDS 23544+3310 AB|IDS 23544+3310|IRAS 23569+3326|2MASS J23592924+3343269|PPM  89300|1RXS J235929.3+334329|SAO  73656|TD1 30211|UCAC4 619-134655|WDS J23595+3343AB" 0 0 0 "23 59 29.2921" "+33 43 25.888" "Double or multiple star" G8+G1 34.57 -2.6e-05 0.0
