MAIN_ID ID_NAME IDS ID_NGC ID_M ID_HD RA DEC OTYPE_V SP_TYPE PLX_VALUE Z_VALUE FLUX_V Distance_distance Distance_unit Distance_method
"M  37" "" "M  37|C 0549+325|NGC  2099|[KPR2004b]  82|[KPS2012] MWSC 0689" "NGC 2099" "M 37" "" "05 52 18" "+32 33.2" "Open (galactic) Cluster" "" "" 0.0000280 5.599999904632568 1383.0000 pc ST-L
"M  38" "" "M  38|C 0525+358|NGC  1912|OCl  433.0|[KPR2004b]  71|[KPS2012] MWSC 0557" "NGC 1912" "M 38" "" "05 28 43" "+35 51.3" "Open (galactic) Cluster" "" "" -0.0001500 6.400000095367432 1066.0000 pc ST-L
"M  39" "" "M  39|C 2130+482|NGC  7092|OCl  211.0|[KPR2004b] 499|[KPS2012] MWSC 3521" "NGC 7092" "M 39" "" "21 31 48" "+48 26.0" "Open (galactic) Cluster" "" "" -0.0000090 4.599999904632568 311.0000 pc ST-L
"M  40" "NAME Winnecke 4" "NAME Winnecke 4|** WNC    4|M  40|WDS J12222+5805AB" "" "M 40" "" "12 22 12.53" "+58 04 58.6" "Composite object" "" "" "" "" "" "" ""
"M  41" "" "M  41|C 0644-206|NGC  2287|OCl  597.0|[KPR2004b] 110|[KPS2012] MWSC 0978" "NGC 2287" "M 41" "" "06 46 01" "-20 45.4" "Open (galactic) Cluster" "" "" 0.0000780 4.5 693.0000 pc ST-L
"M  42" "NAME Orion Nebula" "M  42|3C 145|4C -05.21|CTA  37|GAL 209.01-19.4|LBN 209.13-19.35|LBN   974|Mills 05+0A|MSH 05-0-11|NAME Orion Nebula|NAME Ori Nebula|NAME Great Orion Nebula|NGC  1976|NRL  6|PKS 0532-054|PKS 0532-05|XSS J05351-0519|[DGW65]  26|[KPS2012] MWSC 0582|[PT56]  6|[WCO2009] J053517-052326" "NGC 1976" "M 42" "" "05 35 17.3" "-05 23 28" "HII (ionized) region" "" "" 0.0000960 "" 0.5000 kpc kin
"M  43" "NAME Mairan's Nebula" "M  43|GRS G208.90 -19.30|NAME Mairan's Nebula|NGC  1982|RAFGL  779" "NGC 1982" "M 43" "" "05 35 31" "-05 16.2" "HII (ionized) region" "" "" "" "" "" "" ""
"NGC  2632" "NAME Praesepe Cluster" "M  44|C 0837+201|Cl Melotte   88|NAME Praesepe Cluster|NAME Praesepe|NAME Beehive|NAME MANGER|NGC  2632|OCl  507.0|[KPR2004b] 201|[KPS2012] MWSC 1527" "NGC 2632" "M 44" "" "08 40 24" "+19 40.0" "Open (galactic) Cluster" "" "" 0.0001130 3.0999999046325684 187.0000 pc ST-L
"Cl Melotte   22" "NAME Seven Sisters" "M  45|C 0344+239|Cl Melotte   22|H 0346+24|NAME Seven Sisters|NAME Pleiades|OCl  421.0|[KPR2004b]  47|[KPS2012] MWSC 0305" "" "M 45" "" "03 47 00" "+24 07.0" "Open (galactic) Cluster" "" "" 0.0000120 "" 130.0000 pc ST-L
"NGC  2437" "" "M  46|C 0739-147|NGC  2437|OCl  601.0|[KPR2004b] 160|[KPS2012] MWSC 1313" "NGC 2437" "M 46" "" "07 41 46" "-14 48.6" "Open (galactic) Cluster" "" "" 0.0001020 6.099999904632568 1713.9570 pc ST-L
"NGC  2422" "" "M  47|C 0734-143|NGC  2422|OCl  596.0|[KPR2004b] 147|[KPS2012] MWSC 1278" "NGC 2422" "M 47" "" "07 36 35" "-14 29.0" "Open (galactic) Cluster" "" "" 0.0001140 4.400000095367432 542.0010 pc ST-L
"M  48" "" "M  48|C 0811-056|NGC  2548|[KPR2004b] 189|[KPS2012] MWSC 1454" "NGC 2548" "M 48" "" "08 13 43" "-05 45.0" "Open (galactic) Cluster" "" "" 0.0000260 5.800000190734863 769.0000 pc ST-L
"M  49" "" "M  49|ACSVCS 1|APG 134|BWE 1227+0816|1E 1227.5+0817|2E  2735|2E 1227.2+0816|1ES 1227+08.2|EVCC 755|GALEX J122946.6+080000|GB6 B1227+0816|87GB 122714.6+081649|GIN 781|1H 1228+081|INTREF   501|LEDA   41220|1M 1231+071|2MASX J12294679+0800014|MCG+01-32-083|MITG J122942+0800|NGC  4472|NVSS J122946+080002|NVSS B122714+081639|RGB J1229+080|RGB J1229.8+0800|RX J1229.7+0759|SDSS J122944.50+080029.6|SDSS J122946.76+080001.7|2U 1231+07|3U 1231+07|4U 1232+07|UGC  7629|UZC J122946.6+075958|VCC 1226|XSS J12312+0833|Z  42-134|Z 1227.2+0816|[BEC2010] HRS 178|[CHM2007] HDC  720 J122946.79+0800014|[CHM2007] LDC  904 J122946.79+0800014|[DC78] UGC  7629|[DLB87] V9|[DSB94] 225|[FWB89] Galaxy 265|[M98c] 122713.9+081632|[VV2003c] J122946.8+080002|[VV2006c] J122946.8+080002|[VV2010c] J122946.8+080002|[ZEH2003] RX J1229.7+0759  1" "NGC 4472" "M 49" "" "12 29 46.798" "+08 00 01.48" "Seyfert 2 Galaxy" "" "" 0.0031700 12.170000076293945 18.3000 Mpc ""
"M  50" "" "M  50|C 0700-082|NGC  2323|OCISM 118|OCl  559|OCl  559.0|[KPR2004b] 118|[KPS2012] MWSC 1072" "NGC 2323" "M 50" "" "07 02 47.5" "-08 20 16" "Open (galactic) Cluster" "" "" 0.0000200 5.900000095367432 881.0000 pc ST-L
"M  51" "NAME Whirlpool Galaxy" "M  51|APG  85A|APG  85|B3 1327+474C|BD+47  2063|BWE 1327+4727|4C 47.36A|6C 132748+472801|7C 132753.10+473032.00|7C 132746.79+472722.00|7C 132735.60+472604.00|GB1 1327+475|GB6 B1327+4727|87GB 132747.8+472723|IRAS F13277+4727|IRAS 13277+4727|ISOSS J13299+4714|KHG 1-C  5|KPG 379a|LEDA   47404|2MASX J13295269+4711429|MCG+08-25-012|NAME Whirlpool Galaxy|NAME Whirlpool|NAME Question Mark Galaxy|NGC  5194|PLX 3084|PLX 3084.00|PSCz Q13277+4727|RX J1329.8+4711|1RXS J132953.8+471143|TC 827|UGC  8493|UZC J132952.1+471144|VV  403|VV    1a|VV    1|WB 1327+4727|WN B1327.8+4727|2XMM J132952.5+471144|XMMU J132952.9+471140|Z 246-8|Z 1327.8+4727|[CAB95] IRAS F13277+4727|[CHM2007] LDC  867 J132952.69+4711429|[DML87] 671|[H92] 27|[LPS2002] 16|[M98c] 132746.9+472716|[SLK2004] 853|[T76]  85A|[VDD93] 187A|[VV2000c] J132952.4+471141|[VV2003c] J132952.4+471141|[VV2006c] J132952.4+471141|[VV2010c] J132952.4+471141|[VV98c] J132952.7+471143|[ZEH2003] RX J1329.8+4711  1" "NGC 5194" "M 51" "" "13 29 52.698" "+47 11 42.93" "Seyfert 2 Galaxy" "" 7.800 0.0015500 8.359999656677246 7.6000 Mpc redshift
"M  52" "" "M  52|C 2322+613|NGC  7654|OCISM  57|OCl  260|OCl  260.0|[KPR2004b] 512|[KPS2012] MWSC 3725" "NGC 7654" "M 52" "" "23 24 48" "+61 35.6" "Open (galactic) Cluster" "" "" -0.0001330 "" 3580.9640 pc ST-L
